Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Basal body; Centrosome; Primary cilium,ZNF330,HSA6591; NOA36,ENSG00000109445,Zinc finger protein 330,Q9Y3S2,4,141220887-141234697,Predicted intracellular proteins,,,,Evidence at protein level,Nucleoli; Plasma membrane; Primary cilium; Centrosome; Basal body; Cytosol,Nucleoli,Plasma membrane; Primary cilium; Centrosome; Basal body; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Decidual stromal cells': '160.6', 'Early spermatids': '241.3'}",Cell type enhanced
Centriolar satellite,ZNF721,KIAA1982,ENSG00000182903,Zinc finger protein 721,Q8TF20,4,425815-499156,Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,DNA-binding,,Evidence at protein level,Centriolar satellite; Cytosol,Cytosol,Centriolar satellite,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Distal convoluted tubule cells': '232.7', 'Loop of henle epithelial cells': '179.3', 'Podocytes': '205.2', 'Proximal tubule cells': '204.0', 'Renal collecting duct intercalated cells': '200.8', 'Renal collecting duct principal cells': '162.6', 'Renal connecting tubule cells': '186.6'}",Cell type enriched
Primary cilium,ADCY2,AC2; HBAC2; KIAA1060,ENSG00000078295,Adenylate cyclase 2,Q08462,5,7396138-7830081,Enzymes; Metabolic proteins; Predicted intracellular proteins; Predicted membrane proteins,cAMP biosynthesis,Lyase,,Evidence at protein level,Nuclear membrane; Golgi apparatus; Vesicles; Primary cilium,Golgi apparatus; Vesicles,Nuclear membrane; Primary cilium,Approved,Group enriched,Detected in many,7,"{'brain': '35.4', 'skeletal muscle': '64.1', 'tongue': '28.8'}",Cell type enhanced,"{'Astrocytes': '1338.0', 'Bergmann glia': '1176.4', 'Corticotrophs': '785.5', 'Ependymal cells': '987.9', 'Gonadotrophs': '569.0', 'Myonuclei': '1905.9', 'Retinal horizontal cells': '1071.8', 'Thymic myoid cells': '1429.0', 'Thyrotrophs': '554.7'}",Group enriched
Basal body,ADGRV1,DKFZp761P0710; FEB4; GPR98; KIAA0686; MASS1; USH2C; VLGR1,ENSG00000164199,Adhesion G protein-coupled receptor V1,Q8WXG9,5,90529344-91164437,Disease related genes; G-protein coupled receptors; Human disease related genes; Potential drug targets; Predicted intracellular proteins; Predicted membrane proteins; Transporters,Sensory transduction; Vision,G-protein coupled receptor; Hydrolase; Receptor; Transducer,Deafness; Retinitis pigmentosa; Usher syndrome,Evidence at protein level,Vesicles; Basal body,Vesicles,Basal body,Approved,Tissue enriched,Detected in many,11,{'adrenal gland': '494.7'},Cell type enhanced,"{'Adrenal cortex cells': '788.9', 'Astrocytes': '3318.0', 'Choroid plexus epithelial cells': '1386.3', 'Cone photoreceptor cells': '931.6', 'Corticotrophs': '752.0', 'Ependymal cells': '1045.0', 'Lactotrophs': '664.5', 'Pituicytes/FSCs': '3636.3', 'Somatotrophs': '782.8', 'Thyrotrophs': '714.6'}",Cell type enhanced
Basal body; Primary cilium,ADRB2,ADRB2R; ADRBR; B2AR; BAR,ENSG00000169252,Adrenoceptor beta 2,P07550,5,148826611-148828623,FDA approved drug targets; G-protein coupled receptors; Human disease related genes; Predicted membrane proteins; Transporters,,G-protein coupled receptor; Receptor; Transducer,FDA approved drug targets,Evidence at protein level,Plasma membrane; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Basal body,Plasma membrane,Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Basal body,Supported,Tissue enhanced,Detected in many,,"{'breast': '32.4', 'skin 1': '36.9'}",Cell type enhanced,"{'Alveolar cells type 1': '175.2', 'Basal keratinocytes': '326.3', 'Breast lactating cells': '230.8', 'Conjunctival goblet cells': '70.9', 'Mast cells': '138.8', 'Ocular epithelial cells': '152.7', 'Suprabasal keratinocytes': '184.6'}",Not detected
Centrosome,AK6,CINAP,ENSG00000085231,Adenylate kinase 6,Q9Y3D8,5,69350984-69370013,Enzymes; Essential proteins; Metabolic proteins; Predicted intracellular proteins,Ribosome biogenesis; rRNA processing,Kinase; Transferase,,Evidence at protein level,Nuclear speckles; Centrosome,Nuclear speckles,Centrosome,Supported,Low tissue specificity,Detected in all,,,Group enriched,"{'Early spermatids': '158.5', 'Late spermatids': '379.8'}",Low cell type specificity
Centrosome,ANKRD31,FLJ40191,ENSG00000145700,Ankyrin repeat domain 31,Q8N7Z5,5,75068275-75236911,Predicted intracellular proteins,DNA recombination; Meiosis,,,Evidence at protein level,Nucleoplasm; Nucleoli; Vesicles; Centrosome,Nucleoplasm; Centrosome,Nucleoli; Vesicles,Approved,Tissue enriched,Detected in single,7,{'testis': '4.6'},Cell type enriched,{'Early primary spermatocytes': '244.2'},Not detected
Basal body,ANXA6,ANX6,ENSG00000197043,Annexin A6,P08133,5,151100706-151157815,Plasma proteins; Predicted intracellular proteins; Transporters,,,,Evidence at protein level,Basal body; Cytosol,Cytosol,Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Adipocytes': '233.1', 'Hepatic stellate cells': '309.8', 'Peritubular myoid cells': '216.4', 'Rod photoreceptor cells': '275.8', 'Syncytiotrophoblasts': '277.8'}",Low cell type specificity
Basal body; Primary cilium,ARL15,ARFRP2; FLJ20051,ENSG00000185305,ADP ribosylation factor like GTPase 15,Q9NXU5,5,53883942-54310582,Predicted intracellular proteins,,,,Evidence at protein level,Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Basal body,Microtubules; Primary cilium,Cytokinetic bridge; Mitotic spindle; Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cytotrophoblasts': '1518.6', 'Renal collecting duct intercalated cells': '2219.9', 'Renal connecting tubule cells': '3279.9', 'Sertoli cells': '2305.2', 'Vascular endothelial cells': '1393.6'}",Cell type enhanced
Centrosome,C1QTNF2,CTRP2,ENSG00000145861,C1q and TNF related 2,Q9BXJ5,5,160347754-160370641,Predicted secreted proteins,,,,Evidence at protein level,Golgi apparatus; Centrosome,Golgi apparatus; Centrosome,,Approved,Tissue enhanced,Detected in many,,{'blood vessel': '13.2'},Cell type enhanced,"{'Fibro-adipogenic progenitors': '15.5', 'Fibroblasts': '17.7', 'Hepatic stellate cells': '12.9', 'Leydig cells': '15.7', 'Myosatellite cells': '8.5', 'Pericytes': '14.0', 'Peritubular myoid cells': '28.5', 'Sertoli cells': '7.1', 'Smooth muscle cells': '16.0', 'Vascular smooth muscle cells': '38.6'}",Cell type enriched
Centriolar satellite,C5orf58,,ENSG00000234511,Chromosome 5 open reading frame 58,C9J3I9,5,170229104-170252575,Predicted intracellular proteins,,,,Evidence at protein level,Cytokinetic bridge; Centriolar satellite; Cytosol,Centriolar satellite,Cytokinetic bridge; Cytosol,Approved,Tissue enriched,Detected in some,31,{'testis': '201.0'},Group enriched,"{'Early primary spermatocytes': '1120.6', 'Late primary spermatocytes': '1046.9', 'Oocytes': '308.5'}",Not detected
Primary cilium tip; Primary cilium transition zone,CAMK2A,CAMKA; CaMKIIalpha; CaMKIINalpha; KIAA0968,ENSG00000070808,Calcium/calmodulin dependent protein kinase II alpha,Q9UQM7,5,150219491-150290093,Disease related genes; Enzymes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins; Predicted membrane proteins,,Calmodulin-binding; Kinase; Serine/threonine-protein kinase; Transferase,Disease variant; Intellectual disability,Evidence at protein level,Plasma membrane; Cell Junctions; Primary cilium tip; Primary cilium transition zone; Perinuclear theca; Calyx; Connecting piece; Principal piece; End piece,Plasma membrane; Primary cilium tip; Primary cilium transition zone; Principal piece,Cell Junctions; Perinuclear theca; Calyx; Connecting piece; End piece,Uncertain,Group enriched,Detected in many,6,"{'brain': '486.6', 'skeletal muscle': '153.5'}",Cell type enhanced,"{'Brain excitatory neurons': '227.9', 'Brain inhibitory neurons': '103.0', 'Corticotrophs': '33.6', 'Myonuclei': '148.3', 'Other brain neurons': '80.0', 'Pituitary stem cells': '39.3', 'Retinal amacrine cells': '53.9', 'Thymic myoid cells': '65.3'}",Group enriched
Primary cilium,CAPSL,MGC26610,ENSG00000152611,Calcyphosine like,Q8WWF8,5,35904288-35938779,Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Plasma membrane; Microtubules; Cytokinetic bridge; Primary cilium,Nucleoplasm; Microtubules; Primary cilium,Plasma membrane; Cytokinetic bridge,Approved,Group enriched,Detected in many,7,"{'choroid plexus': '86.0', 'fallopian tube': '104.2'}",Cell type enhanced,"{'Early spermatids': '149.7', 'Endometrial ciliated cells': '409.4', 'Ependymal cells': '148.5', 'Epididymal efferent duct ciliated cells': '536.4', 'Fallopian tube ciliated cells': '852.2', 'Late primary spermatocytes': '121.1', 'Late spermatids': '207.7', 'Respiratory ciliated cells': '771.5'}",Cell type enriched
Centriolar satellite,CCNO,CCNU; FLJ22422; UDG2; UNG2,ENSG00000152669,Cyclin O,P22674,5,55231152-55233608,Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division; Cilium biogenesis/degradation,Cyclin,Ciliopathy; Disease variant; Primary ciliary dyskinesia,Evidence at protein level,Nucleoplasm; Nucleoli; Centriolar satellite,Nucleoplasm; Nucleoli,Centriolar satellite,Approved,Tissue enhanced,Detected in many,,"{'choroid plexus': '10.2', 'pancreas': '11.3', 'testis': '12.5'}",Cell type enriched,{'Respiratory deuterosomal cells': '995.2'},Cell type enriched
Basal body; Centriolar satellite; Centrosome,CEP72,FLJ10565; KIAA1519,ENSG00000112877,Centrosomal protein 72,Q9P209,5,612340-667168,Predicted intracellular proteins,,,,Evidence at protein level,Centriolar satellite; Centrosome; Basal body,Centriolar satellite; Centrosome,Basal body,Supported,Tissue enhanced,Detected in many,,{'testis': '7.1'},Cell type enhanced,"{'Cardiomyocytes': '71.5', 'Early primary spermatocytes': '31.6', 'Epicardial cells': '40.9', 'Melanocytes': '181.5', 'Oocytes': '23.0'}",Cell type enriched
Basal body; Centrosome,CETN3,CEN3,ENSG00000153140,Centrin 3,O15182,5,90392257-90409766,Predicted intracellular proteins,Cell cycle; Cell division; Mitosis; mRNA transport; Protein transport; Translocation; Transport,,,Evidence at protein level,Centrosome; Basal body,Centrosome,Basal body,Supported,Tissue enhanced,Detected in all,,{'testis': '121.8'},Group enriched,"{'Early primary spermatocytes': '321.5', 'Late primary spermatocytes': '969.4'}",Cell type enhanced
Centrosome,DCTN4,Dyn4; p62,ENSG00000132912,Dynactin subunit 4,Q9UJW0,5,150708440-150759095,Essential proteins; Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Centrosome; Calyx,Nucleoplasm; Centrosome,Calyx,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Neutrophils': '314.5'},Low cell type specificity
Basal body; Centrosome; Primary cilium,ENSG00000272772,,ENSG00000272772,Novel protein,,5,134157088-134225861,Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Cytokinetic bridge; Primary cilium; Centrosome; Basal body; Cytosol,Nucleoplasm; Cytosol,Cytokinetic bridge; Primary cilium; Centrosome; Basal body,Approved,Low tissue specificity,Detected in many,,,Low cell type specificity,,
Centrosome,ENSG00000273217,,ENSG00000273217,Novel protein,,5,131425891-131796983,Predicted intracellular proteins,,,,Evidence at transcript level,Centrosome; Cytosol,Cytosol,Centrosome,Approved,Not detected,Not detected,,,Cell type enhanced,"{'Early spermatids': '7.3', 'Late spermatids': '7.5', 'Myonuclei': '5.6', 'Neutrophil progenitors': '7.1', 'Neutrophils': '16.8', 'Thymocytes': '5.9'}",
Primary cilium,FBN2,CCA; DA9,ENSG00000138829,Fibrillin 2,P35556,5,128257909-128659185,Cancer-related genes; Disease related genes; Human disease related genes; Plasma proteins; Predicted secreted proteins,,Hormone,Cancer-related genes; Disease variant,Evidence at protein level,Nucleoplasm; Primary cilium; Cytosol,Cytosol,Nucleoplasm; Primary cilium,Approved,Tissue enriched,Detected in some,15,{'placenta': '63.2'},Cell type enhanced,"{'Adrenal cortex cells': '721.7', 'Cardiomyocytes': '232.1', 'Cytotrophoblasts': '1452.5', 'Migrating cytotrophoblasts': '435.8', 'Pituitary stem cells': '485.1', 'Syncytiotrophoblasts': '379.5'}",Cell type enriched
Basal body; Primary cilium,FBXO38,Fbx38; FLJ13962; MOKA; SP329,ENSG00000145868,F-box protein 38,Q6PIJ6,5,148383935-148442836,Disease related genes; Human disease related genes; Predicted intracellular proteins,Adaptive immunity; Immunity; Ubl conjugation pathway,,Disease variant; Neurodegeneration; Neuropathy,Evidence at protein level,Nucleoplasm; Plasma membrane; Primary cilium; Basal body,Nucleoplasm; Plasma membrane,Primary cilium; Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Neutrophils': '357.8'},Cell type enhanced
Centrosome,FCHO2,,ENSG00000157107,FCH and mu domain containing endocytic adaptor 2,Q0JRZ9,5,72956041-73090522,Predicted intracellular proteins,Endocytosis,,,Evidence at protein level,Vesicles; Centrosome; Cytosol,Centrosome,Vesicles; Cytosol,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Alveolar cells type 2': '345.8', 'Esophageal apical cells': '767.1', 'Kupffer cells': '390.5'}",Low cell type specificity
Centrosome,FLT4,PCL; VEGFR-3; VEGFR3,ENSG00000037280,Fms related receptor tyrosine kinase 4,P35916,5,180601506-180649624,Cancer-related genes; Disease related genes; Enzymes; FDA approved drug targets; Human disease related genes; Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins; Predicted secreted proteins; RAS pathway related proteins; Transporters,Angiogenesis,Kinase; Receptor; Transferase; Tyrosine-protein kinase,Cancer-related genes; Disease variant; FDA approved drug targets,Evidence at protein level,Plasma membrane; Centrosome; Cytosol,Cytosol,Plasma membrane; Centrosome,Supported,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Extravillous trophoblasts': '104.1', 'Lymphatic endothelial cells': '197.0', 'Podocytes': '47.2', 'Undifferentiated spermatogonia': '14.2', 'Vascular endothelial cells': '32.4'}",Cell type enriched
Centrosome,HMMR,CD168; RHAMM,ENSG00000072571,Hyaluronan mediated motility receptor,O75330,5,163460203-163491941,CD markers; FDA approved drug targets; Human disease related genes; Predicted intracellular proteins,,,FDA approved drug targets,Evidence at protein level,Microtubules; Centrosome; Cytosol,Microtubules,Centrosome; Cytosol,Enhanced,Tissue enhanced,Detected in many,,"{'bone marrow': '19.4', 'lymphoid tissue': '25.4', 'testis': '25.7'}",Cell type enhanced,"{'Cytotrophoblasts': '51.0', 'Differentiating spermatogonia': '46.8', 'Early primary spermatocytes': '47.6', 'Early spermatids': '72.2', 'Enteric transient amplifying cells': '64.6', 'Erythrocyte progenitors': '127.5', 'Extravillous trophoblasts': '65.0', 'Late primary spermatocytes': '171.3', 'Late spermatids': '96.8', 'Megakaryocyte progenitors': '115.9', 'Migrating cytotrophoblasts': '57.5', 'Monocyte progenitors': '155.5'}",Cell type enriched
Centrosome,KCTD16,KIAA1317,ENSG00000183775,Potassium channel tetramerization domain containing 16,Q68DU8,5,144170873-144485686,Predicted intracellular proteins,,,,Evidence at protein level,Vesicles; Centrosome; Mid piece; Principal piece; End piece,Centrosome,Vesicles; Mid piece; Principal piece; End piece,Approved,Tissue enhanced,Detected in some,,"{'brain': '7.1', 'retina': '1.8'}",Cell type enhanced,"{'Adrenal medulla cells': '436.1', 'Brain excitatory neurons': '645.1', 'Brain inhibitory neurons': '589.1', 'Ependymal cells': '152.0', 'Loop of henle epithelial cells': '202.6', 'Oligodendrocyte progenitor cells': '491.9', 'Other brain neurons': '184.1', 'Proximal tubule cells': '141.4', 'Retinal bipolar cells': '121.8', 'Somatotrophs': '170.8', 'Thyrotrophs': '127.9'}",Group enriched
Basal body; Centrosome,KIF2A,HK2; KIF2,ENSG00000068796,Kinesin family member 2A,O00139,5,62306162-62391025,Cancer-related genes; Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division; Differentiation; Mitosis; Neurogenesis,Developmental protein; Motor protein,Cancer-related genes; Disease variant; Lissencephaly,Evidence at protein level,Nucleoplasm; Nucleoli; Mitotic spindle; Centrosome; Basal body; Cytosol; Mid piece; Principal piece; Annulus,Nucleoplasm; Nucleoli; Centrosome; Basal body; Annulus,Mitotic spindle; Cytosol; Mid piece; Principal piece,Supported,Low tissue specificity,Detected in all,,,Group enriched,"{'Megakaryocytes': '457.4', 'Platelets': '1557.0'}",Cell type enhanced
Basal body; Primary cilium,KIF3A,FLA10; KLP-20,ENSG00000131437,Kinesin family member 3A,Q9Y496,5,132692628-132737638,Predicted intracellular proteins,Cilium biogenesis/degradation,Motor protein,,Evidence at protein level,Nucleoplasm; Primary cilium; Basal body; Cytosol,Nucleoplasm; Primary cilium; Basal body; Cytosol,,Approved,Tissue enhanced,Detected in all,,"{'brain': '40.4', 'retina': '31.3'}",Cell type enhanced,"{'Brain excitatory neurons': '194.0', 'Brain inhibitory neurons': '190.0', 'Gonadotrophs': '202.7', 'Other brain neurons': '195.2', 'Respiratory ciliated cells': '204.6', 'Retinal horizontal cells': '220.4'}",Cell type enhanced
Primary cilium,MACIR,C5orf30; FLJ25291,ENSG00000181751,Macrophage immunometabolism regulator,Q96GV9,5,103258763-103278660,Predicted intracellular proteins,Cilium biogenesis/degradation; Inflammatory response; Protein transport; Transport,,,Evidence at protein level,Nucleoplasm; Actin filaments; Primary cilium; Cytosol,Nucleoplasm; Actin filaments,Primary cilium; Cytosol,Approved,Tissue enhanced,Detected in all,,{'bone marrow': '29.6'},Cell type enhanced,"{'Colonocytes': '64.7', 'Extravillous trophoblasts': '151.4', 'Mast cells': '61.8', 'Megakaryocyte-Erythroid progenitors': '63.3', 'Neutrophil progenitors': '91.2', 'Neutrophils': '92.7', 'Platelets': '121.6'}",Group enriched
